Polygenic Score (PGS) ID,Stage of PGS Development,Number of Individuals,Number of Cases,Number of Controls,Percent of Participants Who are Male,Sample Age,Broad Ancestry Category,"Ancestry (e.g. French, Chinese)",Country of Recruitment,Additional Ancestry Description,Phenotype Definitions and Methods,Followup Time,GWAS Catalog Study ID (GCST...),Source PubMed ID (PMID),Source DOI,Cohort(s),Additional Sample/Cohort Information
PGS000019,Source of Variant Associations (GWAS),3139.0,,,,,African American or Afro-Caribbean,,U.S.,Multi-ancestry meta-analysis,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000020,Source of Variant Associations (GWAS),69033.0,,,,,European,,"U.S., France, Germany, Netherlands, Finland, Iceland, Sweden, U.K., NR",Removed 938 cases and 915 control Estonian Biobank (EB) samples from the replication analysis,,,GCST005047,22885922,,HSIEA|PIVUS|PMB|SCARFSHEEP|STR|ULSAM|FHS|RS|BHS|DGDG|DGI|DUNDEE|EAS|EUROSPAN|FUSION|HPFS|HNR|IMPROVE|W2C|GMetS|EPIC|NHS|deCODE|WTCCC|ARIC|KORA|PROMIS|AMC-PAS|DILGOM|EMIL,
PGS000021,Source of Variant Associations (GWAS),16559.0,,,,,European,,U.K.,,,,GCST000392,1943048,,,Source of SNP associations
PGS000021,Source of Variant Associations (GWAS),5365.0,3577.0,1788.0,,,European,,"Denmark, UK, Others (labeled as Extant)","1,753 Caucasian multiplex type 1 diabetes families",,,,20798335,,,Source of HLA associations
PGS000021,Score Development/Training,3852.0,1938.0,1914.0,,,European,,,,"Cases = patients [that] received a clinical diagnosis of T1D at ,17 years of age and were treated with insulin from the time of diagnosis. Controls = T2D patients diagnosed between 25 and 75 years of age, were GAD autoantibody negative on testing, and were either treated with diet/oral hypoglycemic agents or had an interval of at least 1 year between diagnosis and the institution of insulin therapy",,,,,WTCCC,
PGS000023,Source of Variant Associations (GWAS),101.0,59.0,42.0,40.594059405940605,,African unspecified,,USA,,,,,30659077,,BDC,
PGS000023,Source of Variant Associations (GWAS),368.0,0.0,368.0,28.499999999999996,,African unspecified,,USA,,,,,30659077,,CLEAR,
PGS000023,Source of Variant Associations (GWAS),41.0,41.0,0.0,41.5,,African unspecified,,USA,,,,,30659077,,GoKinD,
PGS000023,Source of Variant Associations (GWAS),801.0,0.0,801.0,21.6,,African unspecified,,USA,,,,,30659077,,NYCP,
PGS000023,Source of Variant Associations (GWAS),255.0,255.0,0.0,43.9,,African unspecified,,USA,,,,,30659077,,SEARCH,
PGS000023,Source of Variant Associations (GWAS),1262.0,666.0,596.0,35.6576862123613,,African unspecified,,,,,,,30659077,,T1DGC,
PGS000023,Source of Variant Associations (GWAS),659.0,0.0,659.0,26.700000000000003,,African unspecified,,USA,,,,,30659077,,UAB,
PGS000023,Source of Variant Associations (GWAS),462.0,0.0,462.0,34.599999999999994,,African unspecified,,USA,,,,,30659077,,UCSF,
PGS000024,Source of Variant Associations (GWAS),16086.0,6670.0,9416.0,,,European,,,,,,GCST000392,19956093,,T1DGC,"Including: WTCCC, B58C, UKBS, CBR"
PGS000025,Source of Variant Associations (GWAS),55134.0,,,,,European,,"U.S., Iceland, Netherlands, Greece, Canada, Germany, U.K., France",,,,GCST002245,24162737,,ACT|ADC|ADNI|AGES|CHS|EADI|FHS|GERAD|GSK|LOAD|MAYO|MIRAGE|OHSU|ROSMAP|RS|TGEN|UMVUMSS|UPITT|WASHU,
PGS000026,Source of Variant Associations (GWAS),54162.0,17008.0,37154.0,,,European,,,,,,GCST002245,24162737,,CHARGE|ADGC|EADI|GERAD,International Genomics of Alzheimer’s Project (IGAP Stage 1)
PGS000026,Score Development/Training,15795.0,6409.0,9386.0,40.18847736625514,,European,,,,Cases are patients with clinically diagnosed AD and compared to cognitively normal older individuals,,,,,ADGC,ADGC Phase 1
PGS000027,Source of Variant Associations (GWAS),1276.0,,,,,Hispanic or Latin American,,NR,,,,GCST002783,25673413,,,
PGS000027,Source of Variant Associations (GWAS),236781.0,,,,,European,,NR,,,,GCST002783,25673413,,,
PGS000027,Source of Variant Associations (GWAS),887.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST002783,25673413,,,
PGS000027,Score Development/Training,119951.0,,,,,European,,,,,,,,,UKB,UKB Phase 1
PGS000028,Source of Variant Associations (GWAS),22627.0,,,,,European,,"Finland, Sweden, U.S., Australia, Netherlands, Germany, U.K.",,,,GCST001937,23535729,,,
PGS000028,Source of Variant Associations (GWAS),9450.0,,,,,East Asian,,"Republic of Korea, China",,,,GCST002537,25038754,,,
PGS000028,Source of Variant Associations (GWAS),4710.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST002662,25327703,,,
PGS000028,Source of Variant Associations (GWAS),6225.0,,,,,European,,"U.S., Australia, Canada, Germany",,,,GCST002346,2449363,,,
PGS000028,Source of Variant Associations (GWAS),39387.0,,,,,European,,"Finland, Sweden, U.S., Poland, Australia, Germany, U.K.",,,,GCST001930,23535733,,,
PGS000028,Source of Variant Associations (GWAS),5242.0,,,,,East Asian,,China,,,,GCST001420,22383897,,,
PGS000028,Source of Variant Associations (GWAS),4741.0,,,,,East Asian,,Japan,,,,GCST002234,2414319,,,
PGS000028,Source of Variant Associations (GWAS),3748.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST001683,22976474,,,
PGS000028,Source of Variant Associations (GWAS),32530.0,,,,,European,,"Finland, Sweden, U.S., Poland, Australia, Italy, Netherlands, Greece, Germany, U.K., Spain, France, Norway, Denmark",,,,GCST001683,22976474,,,
PGS000028,Source of Variant Associations (GWAS),4928.0,,,,,European,,"Finland, U.S., Australia, Germany, U.K.",,,,GCST002305,24325915,,,
PGS000028,Source of Variant Associations (GWAS),2727.0,,,,,European,,"Sweden, U.S., Poland, Australia, Italy, Netherlands, Canada, Germany, U.K., Spain, France",,,,GCST001916,23544013,,,
PGS000028,Source of Variant Associations (GWAS),8556.0,,,,,European,,U.K.,,,,GCST000678,20453838,,B58C|FBCS|POSH|UKBS,
PGS000029,Source of Variant Associations (GWAS),5242.0,,,,,East Asian,,China,,,,GCST001420,22383897,,,
PGS000029,Source of Variant Associations (GWAS),4741.0,,,,,East Asian,,Japan,,,,GCST002234,2414319,,,
PGS000029,Source of Variant Associations (GWAS),49216.0,23637.0,25579.0,0.0,,East Asian,,,,,,,23535825,,,
PGS000030,Source of Variant Associations (GWAS),140254.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Japan, Bulgaria, Poland, Denmark, Finland, Norway, Sweden, U.K., Portugal, Spain",,,,GCST006085,29892016,,,
PGS000031,Source of Variant Associations (GWAS),69033.0,,,,,European,,"U.S., France, Germany, Netherlands, Finland, Iceland, Sweden, U.K., NR",,,,GCST005047,22885922,,,
PGS000032,Source of Variant Associations (GWAS),69033.0,,,,,European,,"U.S., France, Germany, Netherlands, Finland, Iceland, Sweden, U.K., NR",,,,GCST005047,22885922,,,
PGS000033,Source of Variant Associations (GWAS),69033.0,,,,,European,,"U.S., France, Germany, Netherlands, Finland, Iceland, Sweden, U.K., NR",,,,GCST005047,22885922,,,
PGS000034,Source of Variant Associations (GWAS),1276.0,,,,,Hispanic or Latin American,,NR,,,,GCST002783,25673413,,,
PGS000034,Source of Variant Associations (GWAS),236781.0,,,,,European,,NR,,,,GCST002783,25673413,,,
PGS000034,Source of Variant Associations (GWAS),887.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST002783,25673413,,,
PGS000035,Source of Variant Associations (GWAS),5875.0,,,,,African American or Afro-Caribbean,,"U.S., NR",,,,GCST004296,28416818,,,
PGS000035,Source of Variant Associations (GWAS),4130.0,,,,,East Asian,,Japan,Japanese,,,GCST004296,28416818,,,
PGS000035,Source of Variant Associations (GWAS),118755.0,,,,,European,,"U.S., Germany, Netherlands, Switzerland, Finland, Sweden, U.K., NR",,,,GCST004296,28416818,,,
PGS000035,Source of Variant Associations (GWAS),3358.0,,,,,Hispanic or Latin American,,"U.S., Brazil",,,,GCST004296,28416818,,,
PGS000035,Score Development/Training,120286.0,2987.0,117299.0,47.3,,European,,UK,,"AF was defined as a reported history of AF or atrial flutter, or if an individual had undergone a cardioversion, pulmonary vein isolation procedure, atrial flutter ablation, atrioventricular node ablation, or received an ICD code of 427.3 (ICD-9) or I48 (ICD-10).",,,,,UKB,
PGS000036,Source of Variant Associations (GWAS),455313.0,55005.0,400308.0,,,"European, African American or Afro-Caribbean, East Asian, Hispanic or Latin American, South Asian",,"Bangladesh, China, Denmark, Estonia, Finland, Germany, Greece, Iceland, India, Italy, Netherlands, Pakistan, Republic of Korea, Sweden, U.K., U.S.A., NR",Multi-ancestry meta-analysis (see GCST007515 for study information where testing cohort [UKB] was included),,,,29632382,,,UKB was removed from the original GWAS
PGS000036,Score Development/Training,117946.0,5639.0,112307.0,,,European,,,,Prevalent T2D status was defined using self-reported medical history and medication,,,31322649,,UKB,
PGS000037,Source of Variant Associations (GWAS),26475.0,,,,,"European, Other",,"Finland, Australia, Russian Federation, Netherlands, Greece, Canada, Germany, U.K., Switzerland, Austria, Norway, Denmark",,"Meta-analysis of multiple types of asthma. Asthma was considered to be present if it had been diagnosed by a physician. We defined childhood-onset asthma as the presence of the disease in a person younger than 16 years of age and later-onset asthma as disease that developed at 16 years of age or older. Some surveys contributed samples to both age-at-onset groups. Other subgroups consisted of subjects with asthma that developed at an unknown age, subjects with occupational asthma, and subjects with severe asthma",,GCST000804,20860503,,MRCA-UKC|PIAMA|SAGE.AST|SAPALDIA|SLSJ|TOMSK|UFA|AUGOSA|SEVERE|BHS|ALSPAC|B58C|BAMSE|CAPPS|ECRHS|EGEA|GAS|GAIN.AST|KARELIA|KSMU|MAGICS|G.MAS,
PGS000038,Source of Variant Associations (GWAS),446696.0,,,,,European,,"Canada, U.S., Australia, Austria, Belgium, France, Germany, Netherlands, Switzerland, Poland, Denmark, Finland, Iceland, Sweden, U.K., Italy, Spain, NR",,,,GCST006906,29531354,,,MEGASTROKE
PGS000039,Source of Variant Associations (GWAS),440328.0,,,,,European,,"Canada, U.S., Australia, Austria, Belgium, France, Germany, Netherlands, Switzerland, Poland, Denmark, Finland, Iceland, Norway, Sweden, U.K., Italy, Spain, NR",,Ischaemic stroke,,GCST006908,29531354,,,metaGRS constituent score name: IS
PGS000039,Source of Variant Associations (GWAS),446696.0,,,,,European,,"Canada, U.S., Australia, Austria, Belgium, France, Germany, Netherlands, Switzerland, Poland, Denmark, Finland, Iceland, Sweden, U.K., Italy, Spain, NR",,Any stroke,,GCST006906,29531354,,,metaGRS constituent score name: AS
PGS000039,Source of Variant Associations (GWAS),150765.0,,,,,European,,"U.S., Canada, Australia, Austria, Belgium, France, Germany, Switzerland, Poland, Finland, Iceland, Sweden, U.K., Italy, Spain, NR",,Large artery stroke,,GCST006907,29531354,,,metaGRS constituent score name: LAS
PGS000039,Source of Variant Associations (GWAS),198048.0,,,,,European,,"Canada, U.S., Australia, Austria, Belgium, France, Germany, Poland, Finland, Iceland, Sweden, U.K., Italy, Spain, NR",,Small vessel stroke,,GCST006909,29531354,,,metaGRS constituent score name: SVS
PGS000039,Source of Variant Associations (GWAS),15560.0,,,,,African American or Afro-Caribbean,,"Canada, U.S., NR",,Cardioembolic stroke,,GCST005842,29531354,,,metaGRS constituent score name: CES
PGS000039,Source of Variant Associations (GWAS),211763.0,,,,,European,,"Canada, U.S., Australia, Austria, Belgium, France, Germany, Switzerland, Poland, Finland, Iceland, Sweden, U.K., Italy, Spain, NR",,Cardioembolic stroke,,GCST005842,29531354,,,metaGRS constituent score name: CES
PGS000039,Source of Variant Associations (GWAS),791.0,,,,,Hispanic or Latin American,,U.S.,,Cardioembolic stroke,,GCST005842,29531354,,,metaGRS constituent score name: CES
PGS000039,Source of Variant Associations (GWAS),29042.0,,,,,East Asian,,Japan,,Cardioembolic stroke,,GCST005842,29531354,,,metaGRS constituent score name: CES
PGS000039,Source of Variant Associations (GWAS),7129.0,,,,,South Asian,,Pakistan,,Cardioembolic stroke,,GCST005842,29531354,,,metaGRS constituent score name: CES
PGS000039,Source of Variant Associations (GWAS),364.0,,,,,Asian unspecified,,NR,,Cardioembolic stroke,,GCST005842,29531354,,,metaGRS constituent score name: CES
PGS000039,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,High density lipoprotein cholesterol,,GCST002223,24097068,,,metaGRS constituent score name: HDL
PGS000039,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,Triglycerides,,GCST002216,24097068,,,metaGRS constituent score name: TG
PGS000039,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,Low density liproprotein cholesterol,,GCST002222,24097068,,,metaGRS constituent score name: LDL
PGS000039,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,Total cholesterol,,GCST002221,24097068,,,metaGRS constituent score name: TC
PGS000039,Source of Variant Associations (GWAS),110099.0,,,,,European,,"U.S., Germany, Netherlands, Switzerland, Finland, Sweden, U.K.",,Atrial fibrillation,,GCST004300,28416818,,,metaGRS constituent score name: AF
PGS000039,Source of Variant Associations (GWAS),74035.0,,,,,European,,"Finland, Sweden, U.S., Poland, Czech Republic, Italy, Russian Federation, Netherlands, Romania, Greece, U.K., Croatia, Switzerland, Spain, Hungary, Slovakia, France, Norway",,Cigarettes per day,,GCST000666,2041889,,,metaGRS constituent score name: CPD
PGS000039,Source of Variant Associations (GWAS),150134.0,,,,,European,,"U.S., Australia, Austria, Germany, Netherlands, Switzerland, Estonia, Finland, Iceland, Republic of Ireland, Sweden, U.K., Croatia, Italy, Spain, NR",,Systolic blood pressure,,GCST004776,28739976,,,metaGRS constituent score name: SBP
PGS000039,Source of Variant Associations (GWAS),150134.0,,,,,European,,"U.S., Australia, Austria, Germany, Netherlands, Switzerland, Estonia, Finland, Iceland, Republic of Ireland, Sweden, U.K., Croatia, Italy, Spain, NR",,Diastolic blood pressure,,GCST004777,28739976,,,metaGRS constituent score name: DBP
PGS000039,Source of Variant Associations (GWAS),236781.0,,,,,European,,NR,,Body mass index,,GCST002783,25673413,,,metaGRS constituent score name: BMI
PGS000039,Source of Variant Associations (GWAS),887.0,,,,,African American or Afro-Caribbean,,U.S.,,Body mass index,,GCST002783,25673413,,,metaGRS constituent score name: BMI
PGS000039,Source of Variant Associations (GWAS),1276.0,,,,,Hispanic or Latin American,,NR,,Body mass index,,GCST002783,25673413,,,metaGRS constituent score name: BMI
PGS000039,Source of Variant Associations (GWAS),253288.0,,,,,European,,NR,,Height,,GCST002647,25282103,,,metaGRS constituent score name: Height
PGS000039,Source of Variant Associations (GWAS),159208.0,,,,,European,,"U.S., France, Germany, Netherlands, Estonia, Finland, Sweden, U.K., NR",White European,Type 2 diabetes,,GCST004773,28566273,,,metaGRS constituent score name: T2D
PGS000039,Source of Variant Associations (GWAS),11323.0,,,,,East Asian,,"Republic of Korea, China",,Coronary artery disease,,GCST003116,26343387,,,metaGRS constituent score name: CAD
PGS000039,Source of Variant Associations (GWAS),25557.0,,,,,South Asian,,"India, U.K., Pakistan",,Coronary artery disease,,GCST003116,26343387,,,metaGRS constituent score name: CAD
PGS000039,Source of Variant Associations (GWAS),2268.0,,,,,"Greater Middle Eastern (Middle Eastern, North African or Persian)",,NR,,Coronary artery disease,,GCST003116,26343387,,,metaGRS constituent score name: CAD
PGS000039,Source of Variant Associations (GWAS),4095.0,,,,,Hispanic or Latin American,,U.S.,,Coronary artery disease,,GCST003116,26343387,,,metaGRS constituent score name: CAD
PGS000039,Source of Variant Associations (GWAS),141217.0,,,,,European,,"Finland, Sweden, U.S., Iceland, Italy, Netherlands, Greece, Germany, U.K., Spain, Estonia, NR, Republic of Ireland",,Coronary artery disease,,GCST003116,26343387,,,metaGRS constituent score name: CAD
PGS000039,Source of Variant Associations (GWAS),3139.0,,,,,African American or Afro-Caribbean,,U.S.,,Coronary artery disease,,GCST003116,26343387,,,metaGRS constituent score name: CAD
PGS000039,Score Development/Training,11195.0,888.0,10307.0,,,European,,UK,,Prevalent and incident Ischaemic stroke; defined in http://biobank.ndph.ox.ac.uk/showcase/docs/alg_outcome_stroke.pdf,,,,,UKB,Tuning set
PGS000040,Score Development/Training,6785.0,1849.0,4936.0,,,European,British,UK,,,,GCST000612,,,B58C,UK2 Subset of the GWAS Study
PGS000041,Score Development/Training,11912.0,,,,,European,"British, Dutch, Italian, Finnish","UK, Netherlands, Italy, Finland",,,,GCST000612,,,,"Four cohorts (UK2, NL, IT, Finn) combined into one, SNPs"
PGS000042,Score Development/Training,5552.0,,,,,European,"British, Dutch, Italian, Finnish","UK, Netherlands, Italy, Finland",,The HLA-DQ2.5-positive subset,,GCST000612,,,,"Four cohorts (UK2, NL, IT, Finn) combined into one, SNPs"
PGS000043,Source of Variant Associations (GWAS),51661.0,,,,,African American or Afro-Caribbean,,U.S.,,"VTE was defined in the MVP cohort using the following diagnosis codes for: - Deep Venous Thrombosis ICD-10 codes: {I80.1, I80.2, I82.22, I82.4, I82.5} and ICD-9 codes: {451.11, 451.19, 453.2, 453.4} - Pulmonary Embolism ICD-10 codes: {I26.0, I26.9} and ICD-9 code {415.1} Individuals were defined as a VTE case in UKB based on at least one of the following criteria - VTE ascertained at baseline by self-report, followed by a verbal interview with a trained nurse to confirm diagnosis; - Hospitalization for ICD-10 Code I80.1 or I80.2 - phlebitis and thrombophlebitis of the femoral vein or other deep vessels of lower extremities; - Hospitalization for ICD-10 Code I82.2 - embolism and thrombosis of vena cava; - Hospitalization for ICD-10 Code I26.0 or I26.9 - pulmonary embolism with or without acute cor pulmonale; - Hospitalization for OPCS-4 Procedures Codes L79.1 or L90.2 - open venous thrombectomy of lower limb vein or inferior vena cava filter insertion. Individuals in UKB were excluded if they had an ICD-10 diagnosis code of portal vein thrombosis (I81), Budd-Chiari syndrome (I82.0), superficial or unclear site of thrombophlebitis (I80.0, I80.3, I80.8, I80.9), or known coagulation defects (D68).",,GCST009097,31676865,,MVP|UKB,MVP Cohort = 2.1
PGS000043,Source of Variant Associations (GWAS),21868.0,,,,,Hispanic or Latin American,,U.S.,,"VTE was defined in the MVP cohort using the following diagnosis codes for: - Deep Venous Thrombosis ICD-10 codes: {I80.1, I80.2, I82.22, I82.4, I82.5} and ICD-9 codes: {451.11, 451.19, 453.2, 453.4} - Pulmonary Embolism ICD-10 codes: {I26.0, I26.9} and ICD-9 code {415.1} Individuals were defined as a VTE case in UKB based on at least one of the following criteria - VTE ascertained at baseline by self-report, followed by a verbal interview with a trained nurse to confirm diagnosis; - Hospitalization for ICD-10 Code I80.1 or I80.2 - phlebitis and thrombophlebitis of the femoral vein or other deep vessels of lower extremities; - Hospitalization for ICD-10 Code I82.2 - embolism and thrombosis of vena cava; - Hospitalization for ICD-10 Code I26.0 or I26.9 - pulmonary embolism with or without acute cor pulmonale; - Hospitalization for OPCS-4 Procedures Codes L79.1 or L90.2 - open venous thrombectomy of lower limb vein or inferior vena cava filter insertion. Individuals in UKB were excluded if they had an ICD-10 diagnosis code of portal vein thrombosis (I81), Budd-Chiari syndrome (I82.0), superficial or unclear site of thrombophlebitis (I80.0, I80.3, I80.8, I80.9), or known coagulation defects (D68).",,GCST009097,31676865,,MVP|UKB,MVP Cohort = 2.1
PGS000043,Source of Variant Associations (GWAS),576590.0,,,,,European,,"U.S., U.K.",,"VTE was defined in the MVP cohort using the following diagnosis codes for: - Deep Venous Thrombosis ICD-10 codes: {I80.1, I80.2, I82.22, I82.4, I82.5} and ICD-9 codes: {451.11, 451.19, 453.2, 453.4} - Pulmonary Embolism ICD-10 codes: {I26.0, I26.9} and ICD-9 code {415.1} Individuals were defined as a VTE case in UKB based on at least one of the following criteria - VTE ascertained at baseline by self-report, followed by a verbal interview with a trained nurse to confirm diagnosis; - Hospitalization for ICD-10 Code I80.1 or I80.2 - phlebitis and thrombophlebitis of the femoral vein or other deep vessels of lower extremities; - Hospitalization for ICD-10 Code I82.2 - embolism and thrombosis of vena cava; - Hospitalization for ICD-10 Code I26.0 or I26.9 - pulmonary embolism with or without acute cor pulmonale; - Hospitalization for OPCS-4 Procedures Codes L79.1 or L90.2 - open venous thrombectomy of lower limb vein or inferior vena cava filter insertion. Individuals in UKB were excluded if they had an ICD-10 diagnosis code of portal vein thrombosis (I81), Budd-Chiari syndrome (I82.0), superficial or unclear site of thrombophlebitis (I80.0, I80.3, I80.8, I80.9), or known coagulation defects (D68).",,GCST009097,31676865,,MVP|UKB,MVP Cohort = 2.1
PGS000044,Source of Variant Associations (GWAS),22548.0,,,,,European,,"Sweden, Australia, U.K.",,,,GCST001942,23535732,,,
PGS000044,Source of Variant Associations (GWAS),13560.0,,,,,European,,"Australia, U.K.",,,,GCST001148,21743467,,,
PGS000044,Source of Variant Associations (GWAS),23226.0,,,,,European,,Iceland,,,,GCST000153,18264098,,ICR|IGD|deCODE,
PGS000044,Source of Variant Associations (GWAS),3748.0,,,,,European,,U.K.,,,,GCST000488,19767753,,ProtecT|UKGPCS,
PGS000044,Source of Variant Associations (GWAS),4969.0,,,,,East Asian,,Japan,,,,GCST000750,20676098,,,
PGS000044,Source of Variant Associations (GWAS),7240.0,,,,,European,,"Finland, Sweden, U.S., Italy, Netherlands, Greece, Germany, U.K., Spain, Denmark",,,,GCST001147,21743057,,,
PGS000044,Source of Variant Associations (GWAS),3748.0,,,,,European,,U.K.,,,,GCST000152,18264097,,ProtecT|UKGPCS,
PGS000044,Source of Variant Associations (GWAS),37350.0,,,,,European,,Iceland,,,,GCST000489,19767754,,ICR|IGD|deCODE,
PGS000044,Source of Variant Associations (GWAS),2329.0,,,,,European,,NR,,,,GCST000154,18264096,,PLCO,
PGS000044,Source of Variant Associations (GWAS),4517.0,,,,,European,,Iceland,,,,GCST000019,17401366,,ICR|IGD|deCODE,
PGS000044,Source of Variant Associations (GWAS),2329.0,,,,,European,,NR,,,,GCST000017,17401363,,,
PGS000044,Source of Variant Associations (GWAS),2425.0,,,,,East Asian,,China,,,,GCST001702,23023329,,,
PGS000044,Source of Variant Associations (GWAS),2834.0,,,,,European,,"Sweden, U.S.",,,,GCST000128,18073375,,,
PGS000044,Source of Variant Associations (GWAS),22548.0,,,,,European,,"Sweden, Australia, U.K.",,,,GCST001714,23065704,,,
PGS000045,Source of Variant Associations (GWAS),22627.0,,,,,European,,"Finland, Sweden, U.S., Australia, Netherlands, Germany, U.K.",,,,GCST001937,23535729,,,
PGS000046,Source of Variant Associations (GWAS),22627.0,,,,,European,,"Finland, Sweden, U.S., Australia, Netherlands, Germany, U.K.",,,,GCST001937,23535729,,,
PGS000047,Source of Variant Associations (GWAS),22627.0,,,,,European,,"Finland, Sweden, U.S., Australia, Netherlands, Germany, U.K.",,,,GCST001937,23535729,,,
PGS000048,Source of Variant Associations (GWAS),13491.0,,,,,European,,"U.S., U.K.",,,,GCST002748,25581431,,,
PGS000049,Source of Variant Associations (GWAS),67543.0,,,,,European,,"Finland, Sweden, U.S., Poland, Bulgaria, Australia, Italy, Netherlands, Portugal, Greece, Germany, U.K., Spain, Denmark",,,,GCST002606,25217961,,,
PGS000049,Source of Variant Associations (GWAS),2080.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST002606,25217961,,,
PGS000049,Source of Variant Associations (GWAS),6954.0,,,,,East Asian,,"U.S., Japan",,,,GCST002606,25217961,,,
PGS000049,Source of Variant Associations (GWAS),10463.0,,,,,"Sub-Saharan African, African American or Afro-Caribbean",,"U.S., Ghana, Barbados",,,,GCST002606,25217961,,,
PGS000050,Source of Variant Associations (GWAS),49216.0,23637.0,25579.0,0.0,,East Asian,,"Thaiand, Japan, China, Korea",,,,,23535825,,BCAC|ACP|HERPACC|LAABC|MYBRCA|SBCGS|SEBCS|SGBCC|TBCS|TWBCS,
PGS000050,Source of Variant Associations (GWAS),3027.0,,,,,East Asian,,China,,,,GCST000343,19219042,,SGWAS,SGWAS (Stage 1)
PGS000050,Source of Variant Associations (GWAS),9450.0,,,,,East Asian,,"Republic of Korea, China",,,,GCST002537,25038754,,SGWAS,SGWAS (Stage 2)
PGS000051,Source of Variant Associations (GWAS),22627.0,,,,,European,,"Finland, Sweden, U.S., Australia, Netherlands, Germany, U.K.",,,,GCST001937,23535729,,,
PGS000052,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia, NR",,,,GCST004988,29059683,,,
PGS000052,Score Development/Training,684.0,357.0,327.0,0.0,"{'estimate_type': 'mean (cases)', 'estimate': 56.0, 'variability_type': 'sd (cases)', 'variability': 10.0, 'unit': 'years'}",European,,Netherlands,,"Incident breast cancer cases, not selected for breast cancer family history enrolled between 1996 and 2006 from the Oorsprong van borstkanker integraal onderzocht (ORIGO) study. 327 healthy genotyped bloodbank donors were included in the ORIGO cohort as controls.",,,,,ORIGO,Used to study the mean and standard deviation (SD) of the sPRS
